"","ID","LONGITUDE","LATITUDE","LOG1","LOG2","PREDIAL1","LOCAL","TIPO_ACID","LOCAL_VIA","QUEDA_ARR","DATA","DIA_SEM","HORA","FERIDOS","FERIDOS_GR","MORTES","MORTE_POST","FATAIS","AUTO","TAXI","LOTACAO","ONIBUS_URB","ONIBUS_MET","ONIBUS_INT","CAMINHAO","MOTO","CARROCA","BICICLETA","OUTRO","TEMPO","NOITE_DIA","FONTE","BOLETIM","REGIAO","DIA","MES","ANO","FX_HORA","CONT_ACID","CONT_VIT","UPS","CONSORCIO","CORREDOR"
"1",660953,0,0,"AV ASSIS BRASIL",NA,6699,"Logradouro","ABALROAMENTO","6699 AV ASSIS BRASIL",0,2019-01-01,"TERCA-FEIRA","02:45",1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"BOM","NOITE","DEPTRAN","000219","NORTE",1,1,2019,2,1,1,5,NA,0
"2",660956,0,0,"R DR BARROS CASSAL",NA,411,"Logradouro","ABALROAMENTO","411 R DR BARROS CASSAL",0,2019-01-01,"TERCA-FEIRA","07:36",1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"BOM","DIA","DEPTRAN","000519","CENTRO",1,1,2019,7,1,1,5,NA,0
"3",660959,0,0,"AV FABIO ARAUJO SANTOS",NA,1500,"Logradouro","CHOQUE","1500 AV FABIO ARAUJO SANTOS",0,2019-01-01,"TERCA-FEIRA","16:50",4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"BOM","DIA","DEPTRAN","000919","SUL",1,1,2019,16,1,1,5,NA,0
"4",660962,0,0,"AV IPIRANGA",NA,8799,"Logradouro","COLISAO","8799 AV IPIRANGA",0,2019-01-01,"TERCA-FEIRA","19:00",5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"BOM","NOITE","DEPTRAN","001119","LESTE",1,1,2019,19,1,1,5,NA,0
"5",660963,0,0,"AV ASSIS BRASIL",NA,164,"Logradouro","ABALROAMENTO","164 AV ASSIS BRASIL",0,2019-01-01,"TERCA-FEIRA","22:15",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"BOM","NOITE","DEPTRAN","001219","NORTE",1,1,2019,22,1,1,5,NA,0
"6",661175,0,0,"AV IPIRANGA","R SAO MANOEL",0,"Cruzamento","ABALROAMENTO","AV IPIRANGA & R SAO MANOEL",0,2019-01-01,"TERCA-FEIRA","04:10",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"BOM","NOITE","EPTC","230995","LESTE",1,1,2019,4,1,0,1,NA,0
"7",661176,0,0,"LG TELMO THOMPSON FLORES",NA,0,"Logradouro","ABALROAMENTO","LG TELMO THOMPSON FLORES",0,2019-01-01,"TERCA-FEIRA","05:50",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"BOM","NOITE","EPTC","324150","CENTRO",1,1,2019,5,1,0,1,NA,0
"8",661177,0,0,"AV SERTORIO","AV POLAR",0,"Cruzamento","ABALROAMENTO","AV SERTORIO & AV POLAR",0,2019-01-01,"TERCA-FEIRA","13:00",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"BOM","DIA","EPTC","319195","NORTE",1,1,2019,13,1,0,1,"MOB (LOTE 2)",0
"9",661209,0,0,"ESTR JOAO DE OLIVEIRA REMIAO",NA,0,"Logradouro","QUEDA","ESTR JOAO DE OLIVEIRA REMIAO",0,2019-01-01,"TERCA-FEIRA","06:30",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"BOM","DIA","DEPTRAN","017019","LESTE",1,1,2019,6,1,1,5,NA,0
"10",661008,0,0,"AV BORGES DE MEDEIROS",NA,685,"Logradouro","ABALROAMENTO","685 AV BORGES DE MEDEIROS",0,2019-01-02,"QUARTA-FEIRA","13:50",2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"BOM","DIA","DEPTRAN","003419","CENTRO",2,1,2019,13,1,1,5,NA,0
"11",661009,0,0,"AV VICENTE MONTEGGIA",NA,972,"Logradouro","COLISAO","972 AV VICENTE MONTEGGIA",0,2019-01-02,"QUARTA-FEIRA","17:00",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"BOM","DIA","DEPTRAN","003019","SUL",2,1,2019,17,1,1,5,NA,0
"12",661010,0,0,"AV BENTO GONCALVES",NA,4688,"Logradouro","ABALROAMENTO","4688 AV BENTO GONCALVES",0,2019-01-02,"QUARTA-FEIRA","17:45",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"BOM","DIA","DEPTRAN","003319","LESTE",2,1,2019,17,1,1,5,NA,0
"13",661011,0,0,"AV PROTASIO ALVES",NA,6495,"Logradouro","ATROPELAMENTO","6495 AV PROTASIO ALVES",0,2019-01-02,"QUARTA-FEIRA","18:05",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"BOM","NOITE","DEPTRAN","003519","LESTE",2,1,2019,18,1,1,5,NA,0
"14",661012,0,0,"R JOAO MORA",NA,389,"Logradouro","COLISAO","389 R JOAO MORA",0,2019-01-02,"QUARTA-FEIRA","18:30",2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"BOM","NOITE","DEPTRAN","003219","SUL",2,1,2019,18,1,1,5,NA,0
"15",661013,0,0,"AV DEPUTADO ADAO PRETTO",NA,612,"Logradouro","ABALROAMENTO","612 AV DEPUTADO ADAO PRETTO",0,2019-01-02,"QUARTA-FEIRA","19:20",1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,"BOM","NOITE","DEPTRAN","003719","LESTE",2,1,2019,19,1,1,5,NA,0
"16",661004,0,0,"AV SERTORIO",NA,446,"Logradouro","COLISAO","446 AV SERTORIO",0,2019-01-02,"QUARTA-FEIRA","07:00",1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"BOM","DIA","DEPTRAN","001419","NORTE",2,1,2019,7,1,1,5,NA,0
"17",661005,0,0,"AV SENADOR SALGADO FILHO",NA,102,"Logradouro","COLISAO","102 AV SENADOR SALGADO FILHO",0,2019-01-02,"QUARTA-FEIRA","09:15",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"BOM","DIA","DEPTRAN","002519","CENTRO",2,1,2019,9,1,0,1,"MAIS (LOTE 6)",0
"18",661006,0,0,"AV TERESOPOLIS",NA,2380,"Logradouro","ABALROAMENTO","2380 AV TERESOPOLIS",0,2019-01-02,"QUARTA-FEIRA","11:00",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"BOM","DIA","DEPTRAN","002719","SUL",2,1,2019,11,1,1,5,NA,0
"19",661007,0,0,"R JOSE ANTONIO ARANHA",NA,298,"Logradouro","ABALROAMENTO","298 R JOSE ANTONIO ARANHA",0,2019-01-02,"QUARTA-FEIRA","12:15",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"BOM","DIA","DEPTRAN","002919","NORTE",2,1,2019,12,1,0,1,NA,0
"20",661014,0,0,"ESTR JOAO DE OLIVEIRA REMIAO",NA,4,"Logradouro","ABALROAMENTO","4 ESTR JOAO DE OLIVEIRA REMIAO",0,2019-01-02,"QUARTA-FEIRA","13:30",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"BOM","DIA","DEPTRAN","005819","LESTE",2,1,2019,13,1,1,5,"MAIS (LOTE 6)",0
"21",661146,0,0,"AV ARNALDO BOHRER","R MARECHAL MESQUITA",0,"Cruzamento","ABALROAMENTO","AV ARNALDO BOHRER & R MARECHAL MESQUITA",0,2019-01-02,"QUARTA-FEIRA","11:00",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"BOM","DIA","EPTC","325339","SUL",2,1,2019,11,1,0,1,NA,0
"22",661178,0,0,"AV PROTASIO ALVES",NA,5099,"Logradouro","ABALROAMENTO","5099 AV PROTASIO ALVES",0,2019-01-02,"QUARTA-FEIRA","22:07",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"BOM","NOITE","EPTC","325560","LESTE",2,1,2019,22,1,0,1,NA,0
"23",661179,0,0,"R GEN BENTO MARTINS","R SIQUEIRA CAMPOS",0,"Cruzamento","COLISAO","R GEN BENTO MARTINS & R SIQUEIRA CAMPOS",0,2019-01-02,"QUARTA-FEIRA","19:30",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"BOM","NOITE","EPTC","315613","CENTRO",2,1,2019,19,1,0,1,NA,0
"24",661180,0,0,"AV PINHEIRO BORDA",NA,203,"Logradouro","ABALROAMENTO","203 AV PINHEIRO BORDA",0,2019-01-02,"QUARTA-FEIRA","07:40",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"BOM","DIA","EPTC","325411","SUL",2,1,2019,7,1,0,1,NA,0
"25",661181,0,0,"PCA GUIA LOPES","AV TERESOPOLIS",0,"Cruzamento","COLISAO","PCA GUIA LOPES & AV TERESOPOLIS",0,2019-01-02,"QUARTA-FEIRA","11:20",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"BOM","DIA","EPTC","325335","SUL",2,1,2019,11,1,0,1,NA,0
"26",661182,0,0,"AV JUCA BATISTA",NA,2336,"Logradouro","CHOQUE","2336 AV JUCA BATISTA",0,2019-01-02,"QUARTA-FEIRA","13:08",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"BOM","DIA","EPTC","325256","SUL",2,1,2019,13,1,0,1,NA,0
"27",661183,0,0,"AV OSVALDO ARANHA",NA,868,"Logradouro","ABALROAMENTO","868 AV OSVALDO ARANHA",0,2019-01-02,"QUARTA-FEIRA","08:20",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"BOM","DIA","EPTC","321049","CENTRO",2,1,2019,8,1,0,1,NA,0
