junction_id,junction_name,date,hour,stop_delay(s),stop_num,speed(m/s)
2019021418_815995789,Rua Doutor Barros Cassal_Avenida Independ那ncia,2019/11/11,6:00,-1,-1,-1
2019021418_815995789,Rua Doutor Barros Cassal_Avenida Independ那ncia,2019/11/11,6:30,-1,-1,-1
2019021418_815995789,Rua Doutor Barros Cassal_Avenida Independ那ncia,2019/11/11,7:00,7.5,0.2,5.20000002
2019021418_815995789,Rua Doutor Barros Cassal_Avenida Independ那ncia,2019/11/11,7:30,12.17391339,0.347826087,6.086956504
2019021418_815995789,Rua Doutor Barros Cassal_Avenida Independ那ncia,2019/11/11,8:00,19.16666633,0.500000017,4
2019021418_815995789,Rua Doutor Barros Cassal_Avenida Independ那ncia,2019/11/11,8:30,18.3333328,0.399999987,8.233333453
2019021418_815995789,Rua Doutor Barros Cassal_Avenida Independ那ncia,2019/11/11,9:00,16.31578947,0.421052621,7.999999979
2019021418_815995789,Rua Doutor Barros Cassal_Avenida Independ那ncia,2019/11/11,9:30,11.57894724,0.263157898,7.657894263
2019021418_815995789,Rua Doutor Barros Cassal_Avenida Independ那ncia,2019/11/11,10:00,9,0.266666667,8.366667067
2019021418_815995789,Rua Doutor Barros Cassal_Avenida Independ那ncia,2019/11/11,10:30,19.2045455,0.606060628,4.068181905
2019021418_815995789,Rua Doutor Barros Cassal_Avenida Independ那ncia,2019/11/11,11:00,12.66666663,0.333333339,7.033333667
2019021418_815995789,Rua Doutor Barros Cassal_Avenida Independ那ncia,2019/11/11,11:30,5.454545455,0.227272727,8.113636545
2019021418_815995789,Rua Doutor Barros Cassal_Avenida Independ那ncia,2019/11/11,12:00,19.87654222,0.7,5.416666556
2019021418_815995789,Rua Doutor Barros Cassal_Avenida Independ那ncia,2019/11/11,12:30,18.35858538,0.4419192,6.431818114
2019021418_815995789,Rua Doutor Barros Cassal_Avenida Independ那ncia,2019/11/11,13:00,23.71296267,0.688888908,3.733333373
2019021418_815995789,Rua Doutor Barros Cassal_Avenida Independ那ncia,2019/11/11,13:30,8.676470629,0.294117654,5.632353038
2019021418_815995789,Rua Doutor Barros Cassal_Avenida Independ那ncia,2019/11/11,14:00,23.55769181,0.506410253,3.711538469
2019021418_815995789,Rua Doutor Barros Cassal_Avenida Independ那ncia,2019/11/11,14:30,16.91460121,0.46831957,6.909091039
2019021418_815995789,Rua Doutor Barros Cassal_Avenida Independ那ncia,2019/11/11,15:00,17.6875005,0.525000015,6.22499995
2019021418_815995789,Rua Doutor Barros Cassal_Avenida Independ那ncia,2019/11/11,15:30,11.74999985,0.500000003,4.275
2019021418_815995789,Rua Doutor Barros Cassal_Avenida Independ那ncia,2019/11/11,16:00,12.1333334,0.426666674,7.12000006
